"Date";"Amount";"Original amount";"Original currency";"Exchange rate";"Description";"Subject";"Category";"Tags";"Wise";"Spaces"
"2022-10-29";"-3.60";"";"";"";"Migros Restaurant";;"food";"";"no";"no"
"2022-10-29";"-9.90";"";"";"";"Coop";;"household";"";"no";"no"
"2022-10-28";"-20.92";"";"";"";"PAYPAL *FRONTGATETX ED";;"leisure";"";"no";"no"
"2022-10-28";"-6.50";"";"";"";"SV (Schweiz) AG";;"food";"";"no";"no"
"2022-10-27";"-5.15";"-7.00";"CAD";"1.35922";"Immigration, Refugees and Citizenship Canada";;"transport";"";"no";"no"
"2022-10-26";"-6.90";"";"";"";"Mensa Cafeteria UZH";;"food";"";"no";"no"
"2022-10-26";"-75.26";"-75.00";"USD";"0.99655";"SQ *VOX NOVA";;"health";"";"no";"no"
"2022-10-26";"-10.00";"";"";"";"Eventfrog";;"leisure";"";"no";"no"
"2022-10-25";"141.00";"";"";"";"Zalando";;"income";"";"no";"no"
"2022-10-25";"-297.90";"";"";"";"Zalando";;"leisure";"";"no";"no"
"2022-10-25";"-6.50";"";"";"";"SV (Schweiz) AG";;"food";"";"no";"no"
"2022-10-24";"-5.80";"";"";"";"Mensa Cafeteria UZH";;"food";"";"no";"no"
"2022-10-21";"-6.50";"";"";"";"SV (Schweiz) AG";;"food";"";"no";"no"
"2022-10-20";"-7.50";"";"";"";"SV (Schweiz) AG";;"food";"";"no";"no"
"2022-10-19";"-62.00";"";"";"";"ZVV";;"transport";"";"no";"no"
"2022-10-19";"-6.50";"";"";"";"SV (Schweiz) AG";;"food";"";"no";"no"
"2022-10-18";"-14.06";"";"";"";"Alipay";;"shopping";"";"no";"no"
"2022-10-18";"-3.95";"";"";"";"Coop";;"household";"";"no";"no"
"2022-10-18";"-11.30";"";"";"";"Denner";;"household";"";"no";"no"
"2022-10-17";"-103.70";"";"";"";"Zalando";;"leisure";"";"no";"no"
"2022-10-17";"-6.50";"";"";"";"SV (Schweiz) AG";;"food";"";"no";"no"
"2022-10-14";"-92.07";"";"";"";"PAYPAL *FRONTGATETX ED";;"leisure";"";"no";"no"
"2022-10-11";"-6.50";"";"";"";"SV (Schweiz) AG";;"food";"";"no";"no"
"2022-10-10";"-7.50";"";"";"";"SV (Schweiz) AG";;"food";"";"no";"no"
"2022-10-10";"-39.99";"-54.76";"CAD";"1.36934";"COMFY GUEST";;"travel";"";"no";"no"
"2022-10-07";"-9.50";"";"";"";"SV (Schweiz) AG";;"food";"";"no";"no"
"2022-10-06";"-6.50";"";"";"";"SV (Schweiz) AG";;"food";"";"no";"no"
"2022-10-06";"-33.00";"";"";"";"Grenzpaket GmbH";"QR-Bill: REF: 000000000001553510002522931";"health";"";"no";"no"
"2022-10-06";"-154.02";"";"";"";"IMAI Agency s.r.o.";"331532";"health";"";"yes";"no"
"2022-10-05";"-6.50";"";"";"";"SV (Schweiz) AG";;"food";"";"no";"no"
"2022-10-05";"-4.90";"";"";"";"Coop";;"household";"";"no";"no"
"2022-10-03";"-6.50";"";"";"";"SV (Schweiz) AG";;"food";"";"no";"no"
"2022-10-01";"-4.82";"-5.00";"EUR";"1.03734";"Ihre Lieferadresse";;"shopping";"";"no";"no"
"2022-10-01";"-26.00";"";"";"";"SBB CFF FFS";;"transport";"";"no";"no"
